"157","24160","POORINIMAA PAPER AND STAT","33AADHR6234E1ZF",,"30,FD TALUKA OFFICE ROAD","None","HOSUR","0",,,NULL,NULL,NULL,NULL
"158","24161","SUBHIKSHA NOTE BOOKS","33BBMPD8265J1ZE",,"7/1 NADU KALLUKKARA STREET","None","TRICHY-8","0",,,NULL,NULL,NULL,NULL
"159","24162","ARUNA NOTE BOOK STORE","33ACQPR8526C1ZE",,"46/15 PANDI KANMAI SAMY STREET","None","RAMANATHAPURAM","0",,,NULL,NULL,NULL,NULL
"160","24163","KANNAN PUTHAGA NILAYAM","33BEFPK3808A1Z4",,"49,NALLAMARAJ LANE,N.H.ROAD,FIVE CORNER","None",",COIMBATORE","0",,,NULL,NULL,NULL,NULL
"161","24164","CHANDHAN PAPER MART","33BOVPS3921L1ZA",,"56, East car street","None","Tirunelveli twon","627006",,,NULL,NULL,NULL,NULL
"162","24165","SQUARE PAPER MART","32BCIPA0506L1Z5",,"MARKET ROAD","None","VENJARAMOODU","695607",,,NULL,NULL,NULL,NULL
"163","24166","AYYANAR BOOK CENTER","33ADFPN5756N122",,"17,18, DUDELY HR.SEC SCHOOL","None","DINDIGUL","0",,,NULL,NULL,NULL,NULL
"164","24167","SRI DEVI PRESS","33AAIPP0895L2Z8",,"CHUNNAMBUKKARA STREET","None","VELLORE","0",,,NULL,"0",NULL,NULL
"165","24168","S.S.GOPAL SHOP",,,"MAIN ROAD","None","KEELAKKARAI","0",,,NULL,NULL,NULL,NULL
"166","24169","AMBAY STATIONERY","33ADXPH7750A1ZJ",,"148/201,ESWARAN KOVIL STREET,","None","TIRUPUR","641604",,,NULL,NULL,NULL,NULL
"167","24170","GANESH AGENCIES","33APGPG4536E1ZA",,"7/10-3 K.S.C HIGH SCHOOL ROAD","None","TIRUPUR","641604",,,NULL,NULL,NULL,NULL
